X,Y,OBJECTID,siteID,siteName,radarType,antennaElevation
-98.4130459996855,45.4558330002883,1,KABR,ABERDEEN,NEXRAD,Unknown
-106.823880000343,35.1497220000636,2,KABX,ALBUQUERQUE,NEXRAD,Unknown
-77.0074910001114,36.9838890001716,3,KAKQ,NORFOLK,NEXRAD,Unknown
-101.709268999676,35.233333000076,4,KAMA,AMARILLO,NEXRAD,Unknown
-80.4130480000443,25.6105560000249,5,KAMX,MIAMI,NEXRAD,Unknown
-84.7195229999189,44.9063500003126,6,KAPX,NCL MICHIGAN,NEXRAD,Unknown
-91.1911010000182,43.8227779997793,7,KARX,LA CROSSE,NEXRAD,Unknown
-122.495684000416,48.1946109997045,8,KATX,SEATTLE,NEXRAD,Unknown
-121.631657999986,39.4961109998561,9,KBBX,BEALE AFB,NEXRAD,Unknown
-75.9847129997032,42.1996939998756,10,KBGM,BINGHAMTON,NEXRAD,Unknown
-124.292158000385,40.4983330002636,11,KBHX,EUREKA (BUNKER HILL),NEXRAD,Unknown
-100.760268000415,46.7708329999195,12,KBIS,BISMARCK,NEXRAD,Unknown
-108.60679599992,45.8537779997866,13,KBLX,BILLINGS,NEXRAD,Unknown
-86.7697129996542,33.1719439999302,14,KBMX,BIRMINGHAM,NEXRAD,Unknown
-71.1368510003865,41.9557779996762,15,KBOX,BOSTON,NEXRAD,Unknown
-97.4186030004305,25.9155560000814,16,KBRO,BROWNSVILLE,NEXRAD,Unknown
-78.7369349997927,42.9486109998223,17,KBUF,BUFFALO,NEXRAD,Unknown
-81.7033249998443,24.5969439995977,18,KBYX,KEY WEST,NEXRAD,Unknown
-81.11860199998,33.9486110003504,19,KCAE,COLUMBIA,NEXRAD,Unknown
-67.8064070003462,46.0391669998649,20,KCBW,CARIBOU,NEXRAD,Unknown
-116.236023000043,43.4902169999301,21,KCBX,BOISE,NEXRAD,Unknown
-78.0038800000034,40.9230559998116,22,KCCX,STATE COLLEGE,NEXRAD,Unknown
-81.8599910003417,41.413055999677,23,KCLE,CLEVELAND,NEXRAD,Unknown
-81.042186000056,32.6555279997393,24,KCLX,"CHARLESTON, SC",NEXRAD,Unknown
-97.4599909996674,35.2383330000729,25,KCRI,ROC FAA REDUNDANT (RDA 1),NEXRAD,Unknown
-97.5108249997124,27.7838889998536,26,KCRP,CORPUS CHRISTI,NEXRAD,Unknown
-73.1663790002905,44.5111109997579,27,KCXX,BURLINGTON,NEXRAD,Unknown
-104.806102000288,41.1519439998566,28,KCYS,CHEYENNE,NEXRAD,Unknown
-121.677823999878,38.5011110003338,29,KDAX,SACRAMENTO,NEXRAD,Unknown
-99.9688800002347,37.7608330002856,30,KDDC,DODGE CITY,NEXRAD,Unknown
-100.280269999892,29.2724999999898,31,KDFX,LAUGHLIN AFB,NEXRAD,Unknown
-89.9844359996414,32.280000000003,32,KDGX,"JACKSON/BRANDON, MS",NEXRAD,Unknown
-74.4107129997806,39.9469440002003,33,KDIX,PHILADELPHIA,NEXRAD,Unknown
-92.2097119996909,46.8369439998774,34,KDLH,DULUTH,NEXRAD,Unknown
-93.7228519997005,41.7311110002419,35,KDMX,DES MOINES,NEXRAD,Unknown
-75.4399910002772,38.8255559996506,36,KDOX,DOVER AFB,NEXRAD,Unknown
-83.471657999728,42.7000000000986,37,KDTX,DETROIT,NEXRAD,Unknown
-90.580823999864,41.6116670001155,38,KDVN,QUAD CITIES,NEXRAD,Unknown
-99.2541590000484,32.5383330001672,39,KDYX,DYESS AFB,NEXRAD,Unknown
-94.264463000347,38.8102500002727,40,KEAX,PLEASANT HILL,NEXRAD,Unknown
-110.630269999799,31.8936110001296,41,KEMX,TUCSON,NEXRAD,Unknown
-74.0640740004012,42.5865560002617,42,KENX,ALBANY,NEXRAD,Unknown
-85.4593809997452,31.460556000162,43,KEOX,FT RUCKER,NEXRAD,Unknown
-106.697991999957,31.8730559999461,44,KEPZ,EL PASO,NEXRAD,Unknown
-114.891381000395,35.7011109997697,45,KESX,LAS VEGAS,NEXRAD,Unknown
-85.9216590000603,30.5650330002508,46,KEVX,EGLIN AFB,NEXRAD,Unknown
-98.0286029996769,29.7040560000611,47,KEWX,AUSTIN/SAN ANTONIO,NEXRAD,Unknown
-117.560741000001,35.0977779997058,48,KEYX,EDWARDS AFB,NEXRAD,Unknown
-80.2741579998312,37.0241669996887,49,KFCX,ROANOKE,NEXRAD,Unknown
-98.9766590000047,34.3621940001286,50,KFDR,ALTUS AFB,NEXRAD,Unknown
-103.618881000101,34.634166999967,51,KFDX,CANNON AFB,NEXRAD,Unknown
-84.5658249998825,33.3633330003319,52,KFFC,ATLANTA,NEXRAD,Unknown
-96.7288799999671,43.5877780001446,53,KFSD,SIOUX FALLS,NEXRAD,Unknown
-111.19843499992,34.5743330000491,54,KFSX,FLAGSTAFF (RDA 1),NEXRAD,Unknown
-104.545796999848,39.7866390003085,55,KFTG,DENVER,NEXRAD,Unknown
-97.3031309998995,32.5727779999849,56,KFWS,DALLAS/FT WORTH,NEXRAD,Unknown
-106.624683000411,48.2063609998514,57,KGGW,GLASGOW,NEXRAD,Unknown
